종목코드,종목명,종가,대비,등락률,상장시가총액
"001300","제일모직","65900","0","0.00","3455641200900"
"008770","호텔신라","86900","3000","3.58","3410661714900"
"047810","한국항공우주","32950","150","0.46","3211804775650"
"012450","삼성테크윈","57900","300","0.52","3076227000000"
"138930","BS금융지주","15800","200","1.28","3055402404200"
"069960","현대백화점","133000","0","0.00","3112524653000"
"028050","삼성엔지니어링","77300","2200","2.93","3092000000000"
"000210","대림산업","84100","100","0.12","2926680000000"
"016360","삼성증권","39350","100","0.25","3007723742750"
"012750","에스원","78500","-500","-0.63","2982935473000"
"030000","제일기획","25100","0","0.00","2887534747500"
"000150","두산","133000","-500","-0.37","2777461743000"
"010620","현대미포조선","140500","-6500","-4.42","2810000000000"
"006800","대우증권","8460","10","0.12","2763889537860"
"011780","금호석유","87300","-900","-1.02","2659829424300"
"004800","효성","73700","600","0.82","2588156433500"
"042670","두산인프라코어","12450","-350","-2.73","2582818659300"
"009830","한화케미칼","18250","300","1.67","2560174075750"
"006260","LS","80900","-200","-0.25","2604980000000"
"004990","롯데제과","1770000","12000","0.68","2515878000000"
"000120","CJ대한통운","109000","0","0.00","2486545496000"
"001740","SK네트웍스","9520","60","0.63","2362746399440"
"052690","한전기술","61600","-700","-1.12","2354352000000"
"011070","LG이노텍","114000","2000","1.79","2406770736000"
"000880","한화","30050","-400","-1.31","2252509986750"
"000670","영풍","1190000","-11000","-0.92","2192027600000"
"004170","신세계","224000","-3500","-1.54","2205320544000"
"060980","만도","124000","0","0.00","2231936512000"
"012630","현대산업","29550","200","0.68","2227602519000"
"007070","GS리테일","28700","1150","4.17","2209900000000"
"071050","한국금융지주","37850","300","0.80","2109228797200"
"000100","유한양행","181500","-1000","-0.55","2024187099000"
